track_name,artist_name,album_name,track_url,popularity,duration_ms,popularity_normalized,duration_min,duration_normalized,alt z,art pop,atl hip hop,bedroom pop,canadian contemporary r&b,chicago rap,children's music,chill abstract hip hop,classic oklahoma country,conscious hip hop,contemporary country,corrido,country rap,dark r&b,dark trap,dfw rap,flamenco fusion,florida drill,gen z singer-songwriter,hip hop,indie folk,indie pop,irish singer-songwriter,k-pop,memphis hip hop,metropopolis,modern country pop,pop,pop soul,puerto rican pop,r&b,rap,reggaeton,romanian pop,singer-songwriter pop,slowed and reverb,social media pop,southern hip hop,trap queen,uk pop,cluster,pca_1,pca_2
"I Love You, I'm Sorry",Gracie Abrams,The Secret of Us,https://open.spotify.com/track/51rfRCiUSvxXlCSCfIztBy,89,157146,0.89,2.6191,0.19463908855989376,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,-42883.71713069613,11.906328622915
It's ok I'm ok,Tate McRae,It's ok I'm ok,https://open.spotify.com/track/24XihnoVPWXlKJ4BgXqjVM,82,156521,0.82,2.6086833333333335,0.19297577955966225,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,-43508.71729488513,4.922312555177324
Xur Time,Scarlxrd,YXU WILL HEAL : 4,https://open.spotify.com/track/0UtejVWbiwfQHtgteIzFP8,26,180000,0.26,3.0,0.2554603107859601,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,-20029.718607217364,-51.6332124533965
No One Noticed,The Marías,Submarine,https://open.spotify.com/track/3siwsiaEoU4Kuuc9WKMUy5,86,236906,0.86,3.9484333333333335,0.40690392993344104,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,36876.282788907076,7.040268350170683
Good News,Shaboozey,Good News,https://open.spotify.com/track/54p6vNJwGkt4FTaM8SCsxt,79,199209,0.79,3.32015,0.3065811149226761,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,-820.7173698572993,0.9181297087180657
Indigo,"Sam Barber, Avery Anna",Indigo / Restless Mind,https://open.spotify.com/track/39wvq91YJYE15lqyQN83YP,51,286634,0.51,4.777233333333333,0.5392447778750629,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,86604.28196354584,-29.1269896825051
Defying Gravity,"Cynthia Erivo, Ariana Grande",Wicked: The Soundtrack,https://open.spotify.com/track/5QMrH5nszZZR3nefIj6Mar,85,459766,0.85,7.662766666666666,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2,259736.28273666563,0.8269969211108599
Loco,Neton Vega,Loco,https://open.spotify.com/track/63EQbNhgaih4yg5412usWG,82,186521,0.82,3.1086833333333335,0.27281461157077586,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,-13508.717298085292,4.218369338120025
Drive You Insane,Daniel Di Angelo,Drive You Insane,https://open.spotify.com/track/7ckfO3Cerf6OsNgdHBqf1b,65,212062,0.65,3.5343666666666667,0.3407867318506375,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,12032.282300867828,-13.380668123401758
Qué Pasaría...,"Rauw Alejandro, Bad Bunny",Cosa Nuestra,https://open.spotify.com/track/0l0vcZMU7AOeQmUIREoI2U,90,191018,0.9,3.1836333333333333,0.2847824524892417,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,-9011.717111625361,12.113569147160325
Think I'm In Love With You,Chris Stapleton,Higher,https://open.spotify.com/track/3Gn1zuHNLtGuGEOXwq0k7e,76,222800,0.76,3.7133333333333334,0.36936371112181543,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,22770.282556804472,-2.6313053513794644
Guy For That (Feat. Luke Combs),"Post Malone, Luke Combs",F-1 Trillion,https://open.spotify.com/track/6StwwqB84sJeLr7tZDTxEX,76,164011,0.76,2.7335166666666666,0.2129088746184369,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,-36018.717435718194,-1.255846182095019
Dancing In The Flames,The Weeknd,Dancing In The Flames,https://open.spotify.com/track/7z7kvUQGwlC6iOl7vMuAr9,81,220036,0.81,3.6672666666666665,0.3620078933991915,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,20006.282674318707,2.4344327620988437
